書名,作者,推薦度,備註,評論,Link,File
(同人)第二人生（吾命騎士Ｘ特殊傳說）,雪姬冰塵,★★★★,,,,No
1/2王子,御我,★★★★,,,http://books.com.tw/products/0010941458?sloc=main,No
11處特工皇妃,瀟湘冬兒,★★★★★,,這就是翻拍電視劇的那個，書比電視劇好看XD,https://czbooks.net/n/ci2f04,No
99次離婚：厲少，請低調,萬裡裡,★,,,https://czbooks.net/n/ukh81,No
GOD,御我,★★★,,,https://czbooks.net/n/ce1dog,No
一不小心成了國民姐姐,南岸有珥,★★★,,,https://czbooks.net/n/cpgianj,No
一仙難求,雲芨,,,,https://www.banxia.la/books/255655.html,No
一仙難求一,雲芨,★★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-1416.html,No
一怒成仙,樁樁,★★,,有點久遠不確定了，但女主的思維有點詭異，或者該說是作者的人設後面跑偏了,https://www.banxia.la/books/158048.html,No
一等嫡女,夏太后,★,,,https://www.banxia.la/books/155869.html,No
三梳,七寶酥（馬甲乃浮雲）,★★★★,,戀手癖X化妝師,http://egg19910707.blog.fc2.com/blog-entry-12961.html#more,No
上仙ooo,貓邏,★★★★★,,,https://www.bookwalker.com.tw/product/79083?srsltid=AfmBOoohX2ZeNvwAiHIF2zR3khZOMFR89AgGRiDWexMeCWUGyPSjHNaf,No
不二之臣,不止是顆菜,★★★★,,驕縱大小姐x腹黑大boss、先婚後愛，排個雷，個人建議前十章可以跳過，在一開始作者可能是為了凹人設(? 刻意寫大小姐是多麼作，文章中還有些不必要的中英夾雜，但撐過了開頭這段後面看得蠻順的，女主作的很可愛，和小姊妹的互動也很有趣。,https://czbooks.net/n/sklo66ggc,No
不搭理與不想嫁,橙子離,★,,不喜歡作者筆下的男主，太過於自卑，沒有自己的想法...,https://czbooks.net/n/cpgfa19,No
不殺,御我,★★★★★,,,https://www.books.com.tw/products/0010427302?srsltid=AfmBOoqaFPKMxd_hp8Ev8hHSSSswq8xXo-m1FMcpjN2Wz1gFq0q9er_z,No
不能出賣小貓咪,映漾,,,,https://www.banxia.la/books/323903.html,No
不要慫就是撩,肉團滾滾,★★,,,https://czbooks.net/n/cp133id,No
丹姬,峨嵋,,,,https://www.books.com.tw/products/0010597773?srsltid=AfmBOoqMQ3ySwBeKWy_sF1ugRNxg8s2q9aQp-8fBh5mObp2VzpTXG1W4,No
九十年代敗家媳婦兒,冬十四月,,,,https://www.banxia.la/books/349286.html,No
亂舞霓裳,莫汐妍,★,,,https://www.banxia.la/books/95761.html,No
他來了，請閉眼,丁墨,★★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-6678.html,No
他很撩很寵,藤蘿為枝,★★,,,https://czbooks.net/n/cp6f0jd,No
他的手很撩人,七里尋,★★★,,,https://czbooks.net/n/cp45l0l,No
仙姿物語,冬雪晚晴,★★,,,http://egg19910707.blog.fc2.com/blog-entry-1641.html,No
仙界生存手冊,灰色的貓,★★,,,http://egg19910707.blog.fc2.com/blog-entry-2646.html,No
仙途無蹤,誰惹驟雨,★★,,,http://egg19910707.blog.fc2.com/blog-entry-835.html,No
似錦,冬天的柳葉,★★★★,,,https://czbooks.net/n/u5nad,No
佛系地球人打臉日常,米子君,★★,,,https://czbooks.net/n/cpgk3pp,No
佛系美人穿書,昔邀曉,,,,https://www.banxia.la/books/225203.html,No
作死女配掉線了,周沅,★★★★,,"被書名耽誤的一本書，許多人說前幾章男主太渣了，但我覺得還好每個人表現感情的方式不同，不是所有人都生來就會表達，而女主非書穿，看到中間就會有解釋了。
前半段其實沒戳我個人的淚點。當陷入泥沼不是每個人都有辦法爬出來，總是需要人拉一把。
這本唯一覺得不好的就是中間許多男的都對女主有意思???這來的有點莫名其妙。",https://czbooks.net/n/skloh1467,No
佞妝,玖拾陸,★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-10926.html,No
你也有今天,葉斐然,★★★★★,,男主嘴賤毒舌，懟妻一時爽，追妻火葬場，能扛毒的話從頭到尾都蠻歡樂的，看男主對於感情的轉變，從不婚到婚，有分開有改變有重新追求，挺好的,https://www.banxia.la/books/18412.html,No
你和我的傾城時光,丁墨,★★★★★,,商戰文,http://egg19910707.blog.fc2.com/blog-entry-8587.html,No
你多哄著我,春風榴火,★★★,,,https://czbooks.net/n/cp110fa,No
你好，少將大人,寒武記,★★★,,架構龐大的故事線，當時連載中只追到1491章,https://tw.hjwzw.com/Book/36403,No
你是我的榮耀,顧漫,★★★,,,http://www.jjwxc.net/onebook.php?novelid=3429203,No
你的小可愛掉了,舊衣,★★★,,,https://czbooks.net/n/cpgfamn,No
你聽起來很好睡,瓷話,★★★★,,女主軟萌軟萌的，男主清俊高冷，這是一個倒追成功的故事，女主被所有人捧在手心上呵護，全文甜寵,https://czbooks.net/n/cpgdfjm,No
修仙緋聞,張廉,★★★,,,http://egg19910707.blog.fc2.com/blog-entry-5405.html,No
修真界第一幼崽,紀嬰,★★★,,終於不是三歲半系列，對於小朋友的描寫有到位，但大的世界觀沒有過往看得修仙文完整，出場人物偏年輕有點沒有跳脫一般人思維，可以當作一篇單純的萌童文看。,https://czbooks.net/n/wfl8752,No
假裝一聽菠蘿罐頭,怯喜,,,,https://www.banxia.la/books/119682.html,No
傭兵公主,香草,★★★★★,,,https://www.books.com.tw/products/0010580719?srsltid=AfmBOoonVrllDsYXNhaV-fDKfMwu6A3znFnizH6UeryNp8XbOBpTQqn6,No
傾城絕寵：太子殿下太撩人,藍白格子,★★★★,,,https://czbooks.net/n/cp4eegh,No
兔子想吃隔壁草,六盲星,★★★,,女明星X男電競選手，小甜文看得當下甜甜的，久了印象不深,https://czbooks.net/n/cppm47l,No
全世界他最閃耀！,葉惜語,,,,https://www.banxia.la/books/74354.html,No
全娛樂圈都在等我們離婚,魔安,★★★,,女主失憶，不記得結婚的始末，男主嘴硬，喜歡女主，最終親自追回來,https://czbooks.net/n/cpg882d,No
全職高手,蝴蝶藍,★★★★,,非典型網遊文，偏電競,https://www.banxia.la/books/69237.html,No
八夫臨門,張廉,★★★★,,,http://egg19910707.blog.fc2.com/blog-entry-5156.html,No
公主養成記,橫塘水,★,,,http://egg19910707.blog.fc2.com/blog-entry-12369.html,No
冰肌玉仙,慕流蘇,★★★,,,http://egg19910707.blog.fc2.com/blog-entry-2658.html,No
初曉,墨子哲,,,,https://www.jjwxc.net/onebook.php?novelid=5102446,No
別和投資人談戀愛,superpanda,★★★★,,內容故事都蠻不錯的，但節奏有點慢，在非主要的部分佔的篇幅不少，看到這一部分會有點想要快轉,https://czbooks.net/n/cpg8epe,No
別對我動心,翹搖,,,,https://www.banxia.la/books/209965.html,No
創世記典Online,蒼漓,★★★★,,有哭點,https://www.books.com.tw/products/0010526467?srsltid=AfmBOootC6DJnuKLXoJiT2aM8jK0ZkhiNp8_3PfSFNxKLoKQq-Gr8O6V,No
動我媳婦兒試試,風渡,★★,,,https://m.wfxs.tw/m.wfxs.tw//xs-289943.html,No
千王之凰,峨嵋,★★★,,,https://czbooks.net/n/cp1463e,No
千黎笑堇色,棵海桐,★★,,,https://www.jjwxc.net/onebook.php?novelid=589047,No
卡徒,方想,★★★,,,http://egg19910707.blog.fc2.com/blog-entry-6715.html,No
卿本網癮少女,言言卡夫,★★★,,無腦看爽文，背景設定有些不符合邏輯，著重在描述電競賽事,https://czbooks.net/n/cpgf42k,No
原來我是未來大佬的白月光？,宅喵,★★★,,男主是位面之子，想要改變女主的命運,https://czbooks.net/n/cpg33fo,No
原石少女,貓邏,★★★,,,https://www.books.com.tw/products/0010507517?srsltid=AfmBOoqd_ymUDHcf3cGGc6emi-kcfPoOQhZ0-JlNA3yaf43MQumRbY7U,No
